id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,host_id,location_param,material,width,height,operation
c2074c86-4f71-4891-b420-05ffb69fa016-000c0364,"36"" x 84"" (Cores)",506B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.1273190377,7.2850375,3.876675,13.8684,8.3010375,4.987925,16.0528,1533f27f-0a78-47fe-acb5-1c70425d3f5a-001f8ca2,0.7732970027,Aluminum,0,0,
c2074c86-4f71-4891-b420-05ffb69fa016-000c0545,"36"" x 84"" (60 MIN)",307C,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.1225603879,6.1214,2.6543,5.7404,7.1374,3.736975,7.9248,45ed4799-d124-4abc-8e2b-9d29089bad28-000b76da,0.3453328449,Aluminum,0,0,
c2074c86-4f71-4891-b420-05ffb69fa016-000c0546,"36"" x 84"" (60 MIN)",306A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.1225603879,8.296275,-0.231775,5.7404,9.312275,0.8509,7.9248,45ed4799-d124-4abc-8e2b-9d29089bad28-000b7474,0.6831669245,Aluminum,0,0,
c2074c86-4f71-4891-b420-05ffb69fa016-000c057f,"36"" x 84"" (60 MIN)",408C,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1225603879,6.1214,2.6543,9.8044,7.1374,3.736975,11.9888,45ed4799-d124-4abc-8e2b-9d29089bad28-000b7728,0.3453328449,Aluminum,0,0,
c2074c86-4f71-4891-b420-05ffb69fa016-000c0580,"36"" x 84"" (60 MIN)",407A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1225603879,8.296275,-0.231775,9.8044,9.312275,0.8509,11.9888,45ed4799-d124-4abc-8e2b-9d29089bad28-000b74f8,0.8698214595,Aluminum,0,0,
c2074c86-4f71-4891-b420-05ffb69fa016-000c05b9,"36"" x 84"" (60 MIN)",506D,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.1225603879,6.1214,2.6543,13.8684,7.1374,3.736975,16.0528,45ed4799-d124-4abc-8e2b-9d29089bad28-000b77a6,0.3834652595,Aluminum,0,0,
c2074c86-4f71-4891-b420-05ffb69fa016-000c0614,"36"" x 84"" (60 MIN)",409A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1225603879,15.744825,-0.231775,9.8044,16.760825,0.8509,11.9888,45ed4799-d124-4abc-8e2b-9d29089bad28-000b74f9,0.1270986658,Aluminum,0,0,
c2074c86-4f71-4891-b420-05ffb69fa016-000c0615,"36"" x 84"" (60 MIN)",410A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1225603879,17.03609811,0.92075,9.8044,18.11877311,1.93675,11.9888,45ed4799-d124-4abc-8e2b-9d29089bad28-000b75f2,0.3368,Aluminum,0,0,
c2074c86-4f71-4891-b420-05ffb69fa016-000c0683,"36"" x 84"" (60 MIN)",308A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0.254,0.1225603879,15.744825,-0.231775,5.9944,16.760825,0.8509,8.1788,45ed4799-d124-4abc-8e2b-9d29089bad28-000b74b5,0.1270986658,Aluminum,0,0,
c2074c86-4f71-4891-b420-05ffb69fa016-000c0684,"36"" x 84"" (60 MIN)",309A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.1225603879,17.03609811,0.92075,5.7404,18.11877311,1.93675,7.9248,c2074c86-4f71-4891-b420-05ffb69fa016-000c0665,0.3368,Aluminum,0,0,
1f7f1eea-b08d-416f-9e1c-b079e9c46b83-000c073b,"36"" x 84"" (45 MIN)",P02,02a23a8b-94c1-452d-91fe-6406594cff3b-000959b8,,,0,0.1373497772,-28.451175,10.63625,-5.1562,-27.3558,11.6713,-2.921,e44d188c-4af4-4a48-ba70-431f5b2e7681-000c0cec,0.3492063492,Aluminum,0,0,
