id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-1376,Copper,,lv-2,,,,0.0004133142326,-4.1894125,2.621061207,5.1419125,-4.1608375,3.265586207,5.1704875,-4.175125,2.621061207,-4.175125,3.265586207,0.644525,5.1562,5.1562,,,,plumbing,,
pi-1377,Copper,,lv-2,,,,0.001048555812,10.0314125,2.621061207,5.1419125,10.0599875,4.256186207,5.1704875,10.0457,4.256186207,10.0457,2.621061207,1.635125,5.1562,5.1562,,,,plumbing,,
pi-1378,Copper,,lv-4,,,,0.0006474577634,-9.178925,2.6368375,9.1551125,-9.15035,3.6464875,9.1836875,-9.1646375,3.6464875,-9.1646375,2.6368375,1.00965,9.1694,9.1694,,,,plumbing,,
pi-1379,Copper,,lv-4,,,,0.001279645296,10.0314125,2.6368375,9.2059125,10.0599875,4.632325,9.2344875,10.0457,4.632325,10.0457,2.6368375,1.9954875,9.2202,9.2202,,,,plumbing,,
pi-1380,Copper,,lv-4,,,,0.001156220244,3.5036125,-1.33985,9.2059125,3.5321875,0.4631676416,9.2344875,3.5179,-1.33985,3.5179,0.4631676416,1.803017642,9.2202,9.2202,,,,plumbing,,
pi-1381,Copper,,lv-7,,,,0.004924127179,2.346243069,2.6019125,13.2699125,10.02496018,2.6304875,13.2984875,10.02496018,2.6162,2.346243069,2.6162,7.678717111,13.2842,13.2842,,,,plumbing,,
pi-1382,Copper,,lv-7,,,,0.0008439347261,2.311318069,2.6368375,13.2699125,2.339893069,3.952875,13.2984875,2.325605569,2.6368375,2.325605569,3.952875,1.3160375,13.2842,13.2842,,,,plumbing,,
pi-1383,Copper,,lv-7,,,,0.009697614236,2.311318069,3.959225,-1.8589625,2.339893069,3.9878,13.2635625,2.325605569,3.9735125,2.325605569,3.9735125,15.122525,13.2635625,-1.8589625,,,,plumbing,,
pi-1384,Copper,,lv-7,,,,0.007195870265,2.311318069,-7.268413591,-1.8938875,2.339893069,3.952875,-1.8653125,2.325605569,3.952875,2.325605569,-7.268413591,11.22128859,-1.8796,-1.8796,,,,plumbing,,
pi-1385,Copper,,lv-7,,,,0.005719910251,2.346243069,-7.303338591,-1.8938875,11.26590967,-7.274763591,-1.8653125,2.346243069,-7.289051091,11.26590967,-7.289051091,8.919666598,-1.8796,-1.8796,,,,plumbing,,
