id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,x,y,rotation,system_type,equipment_type
eq-126,PV7,136,lv-7,,,5.603837394E-14,0.05465085844,16.7515051,-0.9477078339,18.6055,17.2743333,-0.6041538193,19.3421,16.98263788,-0.842381502,162.7434031,,
eq-127,240V - Fusible 100A,137,lv-7,,,1.128550586E-14,0.02332360097,5.35499947,-0.179032308,18.71345,5.757328686,0.1211283092,19.2532,5.568797295,-0.1237359838,162.7434031,,
eq-128,240V - Fusible 100A,138,lv-7,,,3.952465022E-14,0.02332360097,10.36365536,-1.121518334,18.71345,10.76598458,-0.8213577172,19.2532,10.57745318,-1.06622201,162.7434031,,
eq-129,240V - Fusible 100A,139,lv-7,,,1.509246061E-14,0.02332360097,16.29824129,-0.683227756,18.71345,16.70057051,-0.3830671387,19.2532,16.51203911,-0.6279314317,162.7434031,,
eq-130,Wiring Pull Box,140,lv-7,,,-1.0668,1.132673864,-15.8242,6.0071,16.8656,-15.4178,10.5791,17.4752,-15.621,8.2931,90,,
eq-131,12 V,141,lv-7,,,0,1.608719887E-06,3.394277541,-0.6547450531,14.69255657,3.420516369,-0.6373535743,14.71812202,3.406748667,-0.6474719472,114.5503156,,
eq-132,12 V,142,lv-7,,,0,1.608719887E-06,4.29748766,-1.065392094,14.69741991,4.323726488,-1.048000615,14.72298536,4.309958785,-1.058118988,114.5503156,,
eq-133,12 V,143,lv-7,,,0,1.608719887E-06,4.434665667,-0.7476647604,16.65972048,4.460904496,-0.7302732816,16.68528593,4.447136793,-0.7403916545,114.5503156,,
eq-134,12 V,144,lv-7,,,0,1.608719887E-06,3.535269452,-0.340971258,16.64342329,3.56150828,-0.3235797792,16.66898874,3.547740577,-0.3336981521,114.5503156,,
eq-135,12 V,145,lv-7,,,0,1.608719887E-06,5.331458169,-1.165738641,16.61116369,5.357696997,-1.148347162,16.63672914,5.343929294,-1.158465535,114.5503156,,
eq-136,12 V,146,lv-7,,,0,1.608719887E-06,6.23529147,-1.567924888,16.66115625,6.261530299,-1.550533409,16.6867217,6.247762596,-1.560651782,114.5503156,,
eq-137,12 V,147,lv-7,,,0,1.608719887E-06,6.056285786,-1.862323246,14.72088294,6.082524615,-1.844931767,14.74644839,6.068756912,-1.85505014,114.5503156,,
eq-138,12 V,148,lv-7,,,0,1.608719887E-06,8.596616478,-1.308622186,16.63746913,8.622855306,-1.291230707,16.66303458,8.609087604,-1.30134908,114.5503156,,
eq-139,12 V,149,lv-7,,,0,1.608719887E-06,9.495442192,-1.715921724,16.64929709,9.52168102,-1.698530245,16.67486254,9.507913317,-1.708648618,114.5503156,,
eq-140,12 V,150,lv-7,,,0,1.608719887E-06,10.39846349,-2.130407881,16.63390383,10.42470232,-2.113016402,16.65946928,10.41093461,-2.123134775,114.5503156,,
eq-141,12 V,151,lv-7,,,0,1.608719887E-06,11.31858962,-2.549344101,16.6357708,11.34482845,-2.531952622,16.66133625,11.33106075,-2.542070995,114.5503156,,
eq-142,12 V,152,lv-7,,,0,1.608719887E-06,11.18905079,-2.862037176,14.71741572,11.21528962,-2.844645697,14.74298117,11.20152192,-2.85476407,114.5503156,,
eq-143,12 V,153,lv-7,,,0,1.608719887E-06,10.24183505,-2.430373489,14.71752445,10.26807388,-2.41298201,14.7430899,10.25430618,-2.423100383,114.5503156,,
eq-144,12 V,154,lv-7,,,0,1.608719887E-06,8.457443493,-1.617440788,14.71645228,8.483682321,-1.60004931,14.74201773,8.469914618,-1.610167682,114.5503156,,
